               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  12,            0.033177,            0.018948,                   0,             0.93596,             0.83158,             0.92045,             0.60139,            0.031115,            0.012637,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.031069,            0.016804,                   0,             0.91382,              0.8929,             0.96042,             0.63626,            0.028806,            0.010678,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.031396,             0.01711,                   0,             0.96748,             0.93946,             0.97689,             0.67531,            0.033867,           0.0090523,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.030953,            0.017129,                   0,             0.95698,             0.93684,             0.97269,             0.67118,            0.028679,           0.0093813,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.030489,             0.01562,                   0,             0.96051,             0.95789,              0.9809,             0.75702,            0.028111,           0.0086246,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.029056,            0.015342,                   0,             0.93664,             0.89474,             0.95409,             0.68032,            0.028858,            0.010522,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.028668,            0.016578,                   0,                   1,             0.93342,             0.97426,             0.74375,            0.025307,            0.009105,                   0,            0.006634,            0.006634,            0.006634
                  19,              0.0289,            0.015722,                   0,             0.95954,             0.99853,             0.98768,             0.73998,            0.027138,           0.0083406,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.027967,            0.014883,                   0,             0.98664,             0.92632,             0.98646,             0.77558,            0.021043,           0.0084767,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.027397,            0.015698,                   0,             0.98924,             0.96799,             0.99208,             0.77454,            0.021252,           0.0081251,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.025999,            0.015758,                   0,             0.98889,             0.93666,             0.98787,             0.77287,            0.021867,           0.0084915,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.026148,            0.015408,                   0,             0.95788,             0.95762,             0.98739,             0.76837,            0.019539,           0.0084326,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.026094,            0.014667,                   0,             0.96728,             0.93358,             0.97582,             0.72965,            0.022254,           0.0094466,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.026067,            0.014783,                   0,             0.98905,             0.98947,             0.99417,             0.79219,            0.020409,           0.0074267,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.025901,            0.014762,                   0,             0.97551,             0.97895,             0.99144,             0.76785,            0.019242,           0.0072253,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.024677,            0.014027,                   0,             0.97889,             0.97646,             0.99128,             0.79808,            0.020432,            0.006978,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.024177,            0.013733,                   0,             0.97928,             0.99485,             0.99458,             0.80794,            0.019475,           0.0069358,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.023286,            0.012673,                   0,             0.96927,              0.9961,             0.99057,              0.7854,            0.021789,           0.0074947,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.023322,             0.01311,                   0,             0.96655,             0.98947,             0.99094,             0.80526,            0.020223,           0.0072405,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.023211,            0.013656,                   0,             0.97914,             0.98839,             0.99257,             0.83512,            0.016056,            0.006613,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.022983,            0.013694,                   0,             0.97741,                   1,             0.99416,             0.81124,            0.018236,             0.00701,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.023181,            0.012936,                   0,             0.98958,             0.99989,              0.9949,             0.83543,            0.017841,           0.0065174,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.022134,            0.012316,                   0,              0.9863,                   1,             0.99479,             0.83938,            0.016548,           0.0064876,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.021444,             0.01297,                   0,             0.98836,                   1,              0.9949,             0.84406,            0.015041,           0.0058863,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.020945,              0.0134,                   0,             0.98774,             0.98947,             0.99458,             0.81873,            0.017296,           0.0061171,                   0,             0.00307,             0.00307,             0.00307
                  37,             0.02049,            0.012501,                   0,             0.97713,                   1,             0.99437,             0.85535,            0.015717,           0.0060551,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.020445,            0.011233,                   0,             0.98779,             0.98947,             0.99437,             0.85246,             0.01831,           0.0060604,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.019466,            0.011623,                   0,             0.98957,             0.99898,             0.99438,             0.85141,            0.016414,           0.0061023,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.019021,            0.011354,                   0,             0.98958,             0.99961,             0.99469,             0.86301,            0.014142,           0.0059702,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.020595,            0.012811,                   0,             0.98958,             0.99992,             0.99458,             0.86443,            0.012828,           0.0056427,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.019504,            0.011774,                   0,                   1,             0.99948,               0.995,             0.87442,            0.011812,           0.0055006,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.019219,             0.01164,                   0,             0.98958,             0.99931,             0.99458,              0.8682,            0.013408,           0.0056102,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.01946,            0.012544,                   0,             0.98779,             0.98947,             0.99427,             0.86737,            0.014083,            0.005538,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.018735,             0.01173,                   0,             0.98957,             0.99879,             0.99438,              0.8783,            0.013464,           0.0054116,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.018622,            0.011125,                   0,             0.98958,             0.99929,             0.99458,             0.87438,            0.013358,           0.0053365,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.018087,            0.011675,                   0,                   1,             0.99878,               0.995,             0.88588,            0.013494,           0.0054257,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.018104,            0.011537,                   0,                   1,             0.99901,               0.995,             0.88563,             0.01334,           0.0054233,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.017565,            0.010807,                   0,                   1,             0.99921,               0.995,             0.88451,            0.013057,           0.0053082,                   0,            0.000496,            0.000496,            0.000496
