               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036094,            0.025632,                   0,             0.83097,             0.70526,             0.78992,             0.54159,            0.031819,            0.016079,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.034244,            0.023088,                   0,             0.82368,             0.70526,             0.79691,             0.53589,            0.028126,            0.015434,                   0,            0.055803,            0.004803,            0.004803
                   2,            0.035362,            0.021735,                   0,             0.82416,             0.71579,             0.79674,             0.46761,            0.037347,            0.016519,                   0,            0.033107,            0.007107,            0.007107
                   3,            0.038118,            0.021674,                   0,             0.88829,             0.57895,             0.74387,             0.49782,            0.041764,            0.015252,                   0,            0.010312,           0.0093119,           0.0093119
                   4,            0.035824,            0.019931,                   0,             0.92365,             0.75789,             0.89218,             0.52387,            0.033496,            0.013122,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.035478,            0.019449,                   0,             0.89812,             0.68421,             0.80976,             0.50541,            0.036732,            0.015131,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.035375,            0.019038,                   0,             0.80875,             0.75675,              0.8334,             0.55641,            0.035837,             0.01438,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.035525,            0.019662,                   0,             0.95432,              0.8797,             0.93402,             0.62548,            0.028615,            0.010812,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.035071,            0.019839,                   0,             0.93131,             0.82105,             0.90354,             0.62849,            0.030668,            0.013021,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.034381,            0.019433,                   0,               0.923,             0.88325,             0.92466,             0.60601,            0.033008,            0.011614,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.031519,            0.017842,                   0,             0.92701,             0.84211,              0.9035,             0.58611,            0.031941,            0.013487,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.034159,             0.01831,                   0,             0.90194,             0.84211,             0.94252,             0.63411,            0.029704,            0.010988,                   0,             0.00802,             0.00802,             0.00802
