minute,class,L5 x_mean,L5 x_std,L5 x_min,L5 x_max,L5 x_auc,L5 x_peaks,L5 y_mean,L5 y_std,L5 y_min,L5 y_max,L5 y_auc,L5 y_peaks,L5 z_mean,L5 z_std,L5 z_min,L5 z_max,L5 z_auc,L5 z_peaks,T12 x_mean,T12 x_std,T12 x_min,T12 x_max,T12 x_auc,T12 x_peaks,T12 y_mean,T12 y_std,T12 y_min,T12 y_max,T12 y_auc,T12 y_peaks,T12 z_mean,T12 z_std,T12 z_min,T12 z_max,T12 z_auc,T12 z_peaks,rms_xy_set1_mean,rms_xy_set1_std,rms_xy_set1_min,rms_xy_set1_max,rms_xy_set1_auc,rms_xy_set1_peaks,rms_yz_set1_mean,rms_yz_set1_std,rms_yz_set1_min,rms_yz_set1_max,rms_yz_set1_auc,rms_yz_set1_peaks,rms_zx_set1_mean,rms_zx_set1_std,rms_zx_set1_min,rms_zx_set1_max,rms_zx_set1_auc,rms_zx_set1_peaks,rms_xyz_set1_mean,rms_xyz_set1_std,rms_xyz_set1_min,rms_xyz_set1_max,rms_xyz_set1_auc,rms_xyz_set1_peaks,roll_set1_mean,roll_set1_std,roll_set1_min,roll_set1_max,roll_set1_auc,roll_set1_peaks,pitch_set1_mean,pitch_set1_std,pitch_set1_min,pitch_set1_max,pitch_set1_auc,pitch_set1_peaks,rms_xy_set2_mean,rms_xy_set2_std,rms_xy_set2_min,rms_xy_set2_max,rms_xy_set2_auc,rms_xy_set2_peaks,rms_yz_set2_mean,rms_yz_set2_std,rms_yz_set2_min,rms_yz_set2_max,rms_yz_set2_auc,rms_yz_set2_peaks,rms_zx_set2_mean,rms_zx_set2_std,rms_zx_set2_min,rms_zx_set2_max,rms_zx_set2_auc,rms_zx_set2_peaks,rms_xyz_set2_mean,rms_xyz_set2_std,rms_xyz_set2_min,rms_xyz_set2_max,rms_xyz_set2_auc,rms_xyz_set2_peaks,roll_set2_mean,roll_set2_std,roll_set2_min,roll_set2_max,roll_set2_auc,roll_set2_peaks,pitch_set2_mean,pitch_set2_std,pitch_set2_min,pitch_set2_max,pitch_set2_auc,pitch_set2_peaks
0_0,0,0.011449270183333329,0.13274146347647262,-0.315158103,0.375157533,5.701135841999999,12,-0.012295388266666672,0.12083349831277915,-0.276572105,0.320081712,5.654438078000001,14,0.005903762966666666,0.07954193703971163,-0.155134488,0.24497872,3.6803856945,17,0.03011009388333333,0.2392145919306598,-0.59575254,0.706717262,10.1005278905,12,-0.01249211446666667,0.2115875769544133,-0.516122107,0.568088713,9.798430437999999,14,0.014985464933333335,0.1354229440306317,-0.292990345,0.3292543,6.229253707499999,17,0.10558965526121745,0.0714315833660912,0.0087674063247986,0.32763532590103134,6.275925781214927,12,0.08652346823080787,0.05541238103056612,0.013240227620694989,0.285014802781969,5.136285438610692,17,0.08599416336619743,0.06827577832840212,0.0050530921197581595,0.27660202940688533,5.083224838367318,13,0.09647846213150023,0.060389805983452824,0.016441220761585863,0.29022528996754926,5.723883969356914,15,-4.968204916410271,46.50306987337806,-77.56426396989481,85.76798309441152,2354.34791659999,13,0.3150653083787341,40.97018456806819,-71.6050451159036,81.75774811908342,2035.970566712803,16,0.18633574223820817,0.12964099799171444,0.014251143490440371,0.6163646939696532,11.06735443262048,11,0.15084638667879083,0.09481568653547072,0.014398067725194533,0.4289879295701914,8.94654702648032,17,0.15142477854837572,0.12416772841313826,0.01077926636190991,0.5211226122367344,8.940794812565883,13,0.1700308819107024,0.10783943297127976,0.03030381510129023,0.5175258890479805,10.079079824919877,12,-2.2214588157073374,46.28200277637162,-77.03773446731289,85.79769048432652,2281.0749586283055,14,1.8060075061169532,41.249199109199054,-76.39576120617996,81.26584664470334,2047.6243670844117,15
0_1,0,-0.03152129516666667,0.34820583461118665,-0.80505067,1.370929796,14.043942551499999,15,0.011113236399999999,0.19968084921438298,-0.500589123,0.404245571,9.4031715515,13,0.05960233553333334,0.3189101647828962,-0.5766213,1.409119297,10.442555144999998,10,-0.07669321009999999,0.6393098787707597,-1.537697218,2.398997254,25.987343357500002,16,0.020323238633333345,0.34120701267441655,-0.964692175,0.747397892,16.020331588,12,0.11081293465,0.6015618158544297,-1.083131755,2.670527442,18.952665555,9,0.22758965836777661,0.1712348324386632,0.02626073273063164,0.9864289977236211,13.343826019250884,13,0.19234811560974246,0.18875444632101226,0.0183871954921546,0.9976569963487293,11.40250902124065,12,0.23161528641151993,0.24515887207090672,0.008007885046589143,1.3389103174111276,13.578336162108908,11,0.22663574754295088,0.19442366649694187,0.03855915120142126,1.1033279212877416,13.321039095065768,11,1.7905390233570915,39.52688721069182,-87.82795051153795,76.09722347333805,1884.1202565385083,11,-7.491028511217392,45.62661629250887,-79.88835880383483,83.94939545489406,2353.2966317799473,14,0.40950375733873073,0.313087507373735,0.05305538138025419,1.710839985150329,24.01730135239808,11,0.34245479424246594,0.35807877073855643,0.02818708792397771,1.8891221134679783,20.331442311189566,11,0.4265585915652755,0.4608962086375019,0.015526094906824479,2.485488212641074,25.018101162716295,9,0.41013838638599304,0.3655816670795453,0.07396540255328453,2.0374872102039685,24.12160296455623,10,0.0376543954252383,38.053868487748275,-87.8002949527898,70.24404524875575,1816.9897930263976,13,-8.591848005838834,46.11829195764589,-80.40344016380489,84.9186056228233,2410.567595971816,16
0_2,0,0.022407145299999997,0.6003772326432708,-1.30340764,1.292384058,28.8135046775,15,0.02555451791666667,0.4277348753760781,-0.877881972,0.872092877,19.8603402925,13,-0.05288907028333333,0.35997952636016856,-1.440438859,0.40493936,13.827169657999999,12,0.015884806850000006,1.1239797263109343,-2.469104695,2.444353904,53.4296526115,14,0.06367537511666664,0.7317398883848203,-1.659461222,1.559536208,34.67167304550001,13,-0.08799785941666666,0.6070220135406583,-2.719070721,0.761208086,24.2620952225,13,0.4540895204034283,0.25707048990053166,0.04133620591071862,1.0095131318199833,26.576066121101192,13,0.3261046512907351,0.22727096489209195,0.017043900054184928,1.1711644806676094,18.785355016409095,13,0.42155769366286183,0.26259820697989483,0.0709318013716044,1.1878059996959853,24.51228700260492,11,0.4159425759133707,0.22943618751002479,0.067200995718793,1.0942947413121333,24.208300327675143,13,6.058139928330371,35.29436064836749,-63.99295936729364,66.83899541155242,1803.305804690291,12,-1.8748784848147224,50.01668552089484,-86.56194686586457,73.16739770281048,2664.046543596842,13,0.8243389768084769,0.4711746345703729,0.08247058953030202,1.9080595840017962,48.51858910137944,10,0.5681966460138945,0.36743864028683093,0.042983254318381396,1.9301567835842457,33.040300104797716,14,0.7681180878860717,0.4794743510116187,0.16799096532000668,2.014680668996063,44.9035610589841,12,0.7507869186532018,0.40342571659018167,0.1852703034425683,1.6508120454982096,43.97699250706758,11,5.874907335986618,35.10977678176574,-65.09702678008024,71.26397833952178,1784.7649795749096,12,-4.124120082531314,50.452923147202974,-85.53553886057843,72.13574388242506,2673.540121967727,11
0_3,0,0.03501861961666666,0.5635564014854606,-1.107644913,1.375268028,27.588457850999998,11,-0.13783155034999997,0.47603874419351466,-1.120733563,1.046369201,23.077153505000002,11,-0.005341393699999999,0.4151479218182176,-1.119374648,1.06721907,18.941766566500004,14,0.0850293073833333,1.0377585587790663,-2.084278239,2.628991801,50.40165281549999,11,-0.24964371966666662,0.8706014890676338,-2.116972259,1.874395101,42.038810398,9,-0.009903346933333335,0.765252978727819,-2.116419644,1.785675123,35.14575072199999,12,0.46646382640407186,0.25421992539262667,0.06695131802913445,1.2320715956005905,27.534829865515984,9,0.39837299810374865,0.22425951316000808,0.018972300377336035,1.0073079621482721,23.42299054435025,12,0.42809901139821116,0.2496606914709345,0.00996994891944249,1.1781473009605075,25.5249565109404,12,0.44490165426580036,0.21832424295958497,0.056817383472482,1.1431973889131626,26.275794750677917,12,-10.438523607349818,36.98628133534629,-73.28481404613309,89.19635674876987,1907.8596152345895,12,5.320406166949495,43.94600980618773,-84.37379317805132,79.86250041451163,2347.738847739385,12,0.8515788397444549,0.47648122122915854,0.1076829936420263,2.3505143477030863,50.1780756726774,12,0.7344840228756055,0.4043795108243036,0.10259580344353825,1.9113109469794585,43.11826264442355,10,0.7888467389598258,0.461153256537603,0.03820000678744874,2.244947600059002,46.946169387396516,14,0.8171969516420091,0.40279000872348264,0.1884336255725712,2.1769869821852597,48.184474653896565,11,-9.09068193928427,37.70413882898233,-70.49996877062183,88.3491039835162,1932.928150338752,10,5.01290901921912,42.68272359610157,-67.61946333370425,80.74216988811523,2257.241297949969,12
0_4,0,-0.07221892038333334,0.693641688824414,-1.870131612,1.844777185,30.9865471605,13,0.02769749981666668,0.90553506801017,-2.486365709,3.146030859,38.057857844999994,13,0.03975561416666666,0.5712753989595513,-1.352828061,1.52776069,26.585307709000002,15,-0.12872700731666667,1.3269777008238126,-3.545317594,3.705222577,58.5644450045,15,0.03964388103333336,1.6995019954041581,-4.717446342,5.927429906,70.4322447615,13,0.07053509730000002,1.0346892512419092,-2.55009312,2.883646592,47.886273189,15,0.6475930959147645,0.48392232851763406,0.04019657459134798,2.2690503900109174,38.40072655190286,11,0.6022108861535431,0.4600984125177838,0.025874521858144484,2.286080927964102,35.8030325552849,13,0.5353876678139683,0.34713869386465884,0.0498902770535981,1.4836159637412816,31.752829753649515,12,0.6179735325830988,0.4038883943299423,0.045600032980402265,1.90192895042897,36.68434309046153,13,2.741787769870036,41.95375114729248,-76.3075278010293,74.39950056302075,2123.890636672778,11,-13.020037266452375,38.35993471496884,-76.93114312055444,62.39979562089408,2000.07180841091,14,1.2181849856528497,0.9217835461870614,0.07397145835585761,4.280878026119584,72.29773039274318,11,1.1161888025385656,0.8583940908603138,0.04811704535256248,4.3091018167808315,66.37083318781887,13,0.9925895798547827,0.6642775622473006,0.09604399226226337,2.872946724085529,58.91534758787559,12,1.1548433564275227,0.7619900794443369,0.0871990643240127,3.5895275916315033,68.59814352831393,12,2.1457535077883896,42.618284602007655,-77.5696494786053,74.76421348345052,2114.601134495164,12,-13.050051583209731,38.725318914351526,-77.29614257756181,63.22112281145069,2008.0471402657784,15
0_5,0,-0.046967772883333356,1.0571989211987487,-2.809961698,2.098333984,49.8746162425,11,0.019658860750000017,1.2358067948104396,-4.07880999,2.169644852,57.757110033,13,-0.002611438149999997,0.8093893559661488,-2.102541491,1.717808975,35.601807501500005,12,-0.0799451333833333,2.004060267315614,-5.288927771,4.009467723,95.01543690599999,12,0.04784918174999996,2.309527451270812,-7.729149255,4.073023559,107.68441496099999,13,0.002463440833333345,1.4771582255074072,-3.970625345,2.862074496,64.39001199799999,12,0.9776295484711031,0.6066141143640793,0.0891391901727965,3.5023260612592058,58.262903795590596,15,0.8955151809493002,0.5379721068256387,0.1605404293998162,3.214900421942543,53.22822915728616,15,0.7734998794902542,0.5377682366461648,0.002142467291227103,2.442372131321917,46.020775553986105,14,0.9109541061475681,0.5206042112194323,0.145352484674076,3.0858307466137176,54.22413879642641,15,6.448915285179848,47.69308545044057,-82.92393733278531,89.43837963160455,2473.6710549492873,13,0.8676742769833186,35.47172581185965,-78.06149132241552,65.29764776920341,1862.0878607305947,11,1.839980605709057,1.1374968380135104,0.18426297149689302,6.6224053474897655,109.7450776009445,14,1.6572399837990934,1.00631017988682,0.30603087213530705,6.086244077251125,98.58384988481373,15,1.4418041455471746,1.011694836122954,0.05021257767721881,4.599877318828013,85.81255767138889,14,1.7010575242958863,0.9763994675313291,0.2802964627195223,5.832594931435002,101.32377734315448,16,6.302524598203902,47.358118318759715,-83.65062995757805,87.70317915517833,2446.5908667537524,13,1.43003263887724,36.391358247855344,-76.38927478062065,67.1212813780475,1920.557062979437,11
0_6,0,-0.1776793746833333,2.314371285292133,-9.529681273,4.685898759,88.76066725,13,-0.03831363050000002,1.885840047073096,-6.552340009,5.171491866,73.7807733595,12,0.0083890304666667,1.2470535095511037,-5.412101845,2.695453543,50.746985302999995,16,-0.3422523370333333,4.347643427453768,-17.96157321,8.872656769,165.937797292,13,-0.06126122193333335,3.3811202916852845,-12.36643842,9.746358801,130.8419518125,12,0.021011444733333343,2.3715063948004627,-10.22548842,5.088845247,96.677471968,16,1.4206467696948044,1.5667275665077838,0.0590393555780104,8.17765200893597,84.88197475274596,8,1.1611644537113386,1.0991969049758874,0.13452250805808433,5.00992162593455,69.16532149671637,8,1.3077543423653288,1.3271500288094347,0.05233572690294339,7.002867090250898,77.8682601753621,7,1.3343483128462463,1.3114243649976396,0.1639840626569797,6.855981684168948,79.56252205939087,7,-1.9068838486977369,36.80202198508557,-73.79841061051775,77.685726675098,1896.1305630480163,12,5.872357155430775,42.14198688469566,-66.46447083074382,67.6714137463928,2237.2147803468456,13,2.609409945087314,2.9014502301094454,0.099905478324503,15.419904529111745,155.9207089658309,9,2.1091888711898408,2.0202544439804937,0.2529849393278789,9.45582215208087,125.6726019210946,7,2.4534749725072165,2.5104327529768073,0.016982053125556888,13.200652599892631,146.12640476480755,7,2.4653232321110345,2.4389817235665894,0.2855162139450784,12.928563432979916,147.0299275520682,7,-1.7597699754783724,36.427777101594394,-73.21097179587045,87.21639709889729,1855.3829503271204,11,5.899825506927411,42.38130850581013,-74.21286882602838,67.69293555989238,2235.9434563726904,14
0_7,0,0.0787585312,0.6925626272678701,-1.771807114,1.451681769,30.340812474499998,14,0.03415637528333333,0.6301412452409356,-2.125494985,1.213842029,26.818300211999997,13,-0.018290837149999992,0.5505662248823858,-1.136447508,1.547144596,24.5646100385,12,0.16621326753333335,1.2950811182665474,-3.301383758,2.871332578,56.916959609,14,0.04511977876666667,1.1336036327372419,-3.57714219,2.104966923,48.4559150695,12,-0.05263195666666667,1.0047254082444872,-2.149204913,2.919987114,45.121681177,12,0.537518529594598,0.39130436142226405,0.016387803282999526,1.6325876970459405,31.80804673421665,12,0.4912245972439236,0.3309827486110663,0.08523208921894936,1.594838585954034,28.695042436620128,12,0.5097412959166981,0.36717246908242995,0.04848108542029457,1.3637784556628798,29.818988858740234,13,0.5345776355394812,0.3317772964400424,0.117435935514128,1.4023761355080062,31.38712588269659,14,7.868123928977733,37.94270610374718,-81.1932013754959,86.33417971665476,1807.9963090702504,13,4.910499037139295,39.76714727634678,-72.8901307761833,76.5488922071639,2020.8298505474893,16,0.9950928202897243,0.711173502670532,0.03840021365957141,2.702524983346533,58.89173736684326,13,0.8949746949002967,0.5904984548675293,0.15962695294269263,2.6752879903523175,52.29081124007622,12,0.9465692088519584,0.6801171545167811,0.10497866502380537,2.5678244526198086,55.37390112451573,12,0.9840940230633524,0.605220365909045,0.22599413242906,2.355790430288288,57.78895655312698,13,7.296646361983042,37.60820706625894,-81.33976591656086,85.51052331113766,1784.883219327851,11,5.22638436430332,40.10772965654001,-73.09378485667497,79.2336398772342,2053.8776923822866,16
0_8,0,-0.04262036718333335,0.7105850284449936,-1.441533439,1.282165053,34.2074930165,15,0.03043876381666666,0.7203000102014543,-1.624276526,1.850780532,36.343033525500005,14,0.054516215433333355,0.38159070898484027,-0.844830726,1.203268434,17.8568559635,10,-0.06303186731666667,1.3607286804578271,-2.687448294,2.454946699,65.286029552,14,0.042112427233333305,1.3258048284089465,-3.068830345,2.457949141,67.39157557699998,13,0.09249752406666668,0.6538441572125692,-1.439737502,1.449485374,31.308983240000003,8,0.6487594937082073,0.3039148236223906,0.05130956245053854,1.507659778349507,38.64110221334562,19,0.5118025851190072,0.2687548489782385,0.08594311667591277,1.56096820946024,30.339039521456794,14,0.5063202052394417,0.2670306768990415,0.03835979633030304,1.1332568908099299,30.16335047258109,15,0.580753802717209,0.23328434024107914,0.09130053776853458,1.4134981356863758,34.53581236271887,19,1.9569085404268842,44.5897271572006,-79.88422681385407,82.58496666829897,2321.987874916287,11,-2.63832557243515,43.231797959936394,-77.89171136565244,75.53241269218269,2167.300601419886,13,1.2274985904814961,0.5484441076398602,0.06680710049206488,2.423745819532019,73.04109295599024,18,0.9375726149626195,0.46771522146694666,0.15969948886119892,2.1821893902296083,55.500417042139894,13,0.9460535625472135,0.5007937926836032,0.07394500767420466,1.975927815621709,56.378423873224,15,1.0859019354024355,0.41376579189403684,0.13982497897369245,2.1486503860825286,64.53716943935764,18,2.348583141926262,44.539755463254835,-82.98550786403871,82.11328341784892,2288.2592105769872,11,-0.689778726691841,44.438633248509845,-77.51086347202012,77.06126517103314,2216.693865797196,13
0_9,0,-0.05140341985000001,0.7278249111395553,-2.317434245,1.624306808,33.5838723165,14,-0.08306714991666664,0.8898632304866767,-2.124211642,1.57508125,43.0056172095,12,0.028645604083333345,0.4327568315446307,-0.805985982,1.423912583,20.626706215000002,10,-0.1031580844166667,1.3890426190183411,-4.395013278,3.045841796,63.715978037499994,14,-0.12208561761666673,1.6656928944235871,-3.993277004,2.960293768,81.12296084,13,0.08202681044999996,0.7734882923424413,-1.408495432,2.337733326,37.597373798499994,10,0.7239712241597812,0.3760714469301111,0.09266416837633738,1.8515243352703648,42.30872979739361,13,0.6224090717237606,0.3256298981368593,0.184491466564005,1.5348490572382967,36.69730839812948,12,0.5290764588974973,0.2833960656134746,0.02323790292419177,1.6395485539113395,30.806673082238163,14,0.6570173841766742,0.27338108308477094,0.1578552280521684,1.512395690018934,38.48054274696639,13,2.9442358523531897,48.44066082252483,-74.92594199912914,87.77370711434105,2493.176138403175,14,-1.5770590095962018,39.289245717368516,-76.80706673431618,73.31975108066067,1911.5740635296438,15,1.3642595040475636,0.7096163455078072,0.06655897519935171,3.5031387640667275,79.61614895964615,13,1.1597158073505227,0.5935354854379591,0.3427410112522492,2.8860219479706872,68.2995342519018,11,0.988342116085023,0.5438075243128001,0.038704948831160865,3.1093868039252186,57.56775764977944,12,1.2288820178263944,0.5177123394331816,0.29910187470965216,2.861491061181576,71.89643688211062,13,3.6102607582977746,48.75028708600904,-75.244059524007,88.08270287762195,2531.636523619638,14,-1.8912782376931534,38.87763325419167,-76.9694105223798,73.11268164351776,1894.122562128067,14
