               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10574,            0.036635,                   0,            0.003946,             0.39167,            0.026464,             0.00582,            0.084484,            0.028872,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.085433,             0.03723,                   0,             0.12297,            0.091667,            0.067397,            0.013332,             0.07986,            0.027414,                   0,            0.055803,            0.004803,            0.004803
                   2,            0.076954,            0.036602,                   0,             0.16293,             0.30833,             0.13556,            0.042178,            0.068662,            0.026311,                   0,            0.033107,            0.007107,            0.007107
                   3,            0.070506,            0.033325,                   0,             0.37249,             0.36667,             0.28178,              0.1049,            0.067877,            0.025139,                   0,            0.010312,           0.0093119,           0.0093119
                   4,            0.065109,            0.030461,                   0,             0.58422,             0.41667,             0.41951,             0.17113,            0.062627,            0.023555,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.059155,            0.029123,                   0,             0.54444,             0.48333,             0.45217,             0.14765,            0.053208,              0.0247,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.052727,            0.027904,                   0,             0.60366,             0.58333,              0.6059,             0.25955,             0.04795,            0.018836,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.049197,            0.027109,                   0,             0.64426,             0.58861,             0.60277,             0.25658,            0.046516,            0.018613,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.047834,             0.02496,                   0,             0.80807,                0.65,              0.7519,             0.38802,            0.039912,            0.016367,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.045823,            0.023916,                   0,             0.74378,             0.64167,             0.69689,             0.35177,            0.041702,            0.016072,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.043331,            0.023002,                   0,             0.72272,             0.67335,              0.7319,             0.36092,            0.038365,            0.016653,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.042413,             0.02246,                   0,             0.86739,                0.75,             0.81739,             0.47882,            0.035082,             0.01386,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.041663,            0.022689,                   0,             0.80145,             0.74006,             0.80157,             0.45703,            0.032989,            0.013399,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.040377,            0.022293,                   0,             0.89619,             0.65833,             0.78957,             0.46656,            0.032451,            0.014701,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.036512,            0.020703,                   0,             0.84272,             0.62512,             0.77834,             0.45169,            0.032077,             0.01598,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.036934,            0.021647,                   0,               0.879,             0.76667,             0.83934,              0.4929,            0.032109,            0.012972,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.035518,            0.019548,                   0,              0.8884,                0.85,             0.88696,              0.5329,            0.032245,            0.012137,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.035434,            0.020767,                   0,             0.86669,             0.85833,             0.90735,             0.57267,            0.030953,             0.01192,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.03348,            0.020973,                   0,             0.87472,             0.81667,             0.88308,             0.53047,            0.030553,            0.011841,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.034056,            0.019957,                   0,             0.87443,             0.81245,             0.87585,              0.5294,            0.031205,            0.011962,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.03362,            0.019148,                   0,             0.95259,               0.775,             0.89881,              0.5643,            0.029984,            0.011027,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.032828,            0.017985,                   0,             0.91891,             0.81667,             0.91653,             0.57173,            0.029449,             0.01073,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.032397,            0.018813,                   0,             0.93032,             0.83333,             0.90103,             0.54366,            0.029952,            0.011214,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.031841,            0.017458,                   0,             0.96291,             0.86531,             0.92809,             0.62824,             0.02617,            0.010057,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.030211,            0.017552,                   0,             0.94586,             0.87356,             0.92265,             0.62181,            0.025939,            0.010086,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.030012,            0.018077,                   0,             0.94875,                0.85,             0.92458,             0.62103,            0.027218,            0.010884,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.029612,            0.017309,                   0,             0.92804,             0.84167,             0.91893,             0.61335,            0.027533,            0.010088,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.028633,            0.017091,                   0,             0.97299,             0.88333,             0.92979,             0.62824,            0.027724,             0.00993,                   0,            0.004852,            0.004852,            0.004852
                  28,             0.02899,             0.01605,                   0,             0.91992,             0.89167,             0.92649,             0.62186,            0.026083,           0.0098265,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.027761,            0.015038,                   0,             0.92982,             0.88332,             0.93834,             0.62714,            0.026281,            0.009333,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.028075,            0.016872,                   0,             0.97549,             0.85833,             0.93974,             0.62616,            0.024999,           0.0095478,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.028094,            0.017002,                   0,              0.9142,             0.91667,             0.95122,             0.67922,             0.02259,           0.0089684,                   0,             0.00406,             0.00406,             0.00406
