image_name,confidence,iou
IMG_20180723_123952.jpg,0.879646,0.6748368105419098
IMG_20180723_123254.jpg,0.94587,0.9501564822208295
IMG_20180724_120949.jpg,0.94572,0.943849888792367
IMG_20100101_032415.jpg,0.836343,0.8430633564042652
IMG_20180723_123653.jpg,0.863386,0.9154961319172119
IMG_20180810_093037.jpg,0.961836,0.9837542090099916
IMG_20180713_105001.jpg,0.737919,0.660861133001708
IMG_20180723_123106.jpg,0.878999,0.8827721286054127
IMG_20180719_123848.jpg,0.90523,0.9070905524314763
IMG_20180719_143203.jpg,0.829617,0.8313774365977702
IMG_20180720_142545.jpg,0.926368,0.9095971811606451
IMG_20100101_033033.jpg,0.708106,0.8806138613645182
IMG_20180724_121309.jpg,0.961703,0.9793848005321782
IMG_20180723_145854.jpg,0.92777,0.9066538170775511
IMG_20180810_092151.jpg,0.950746,0.9662300497125355
IMG_20180723_123225.jpg,0.802494,0.9323635981847638
IMG_20180714_103949.jpg,0.941469,0.905024467904531
IMG_20180723_124522.jpg,0.927988,0.36335068108615964
IMG_20180717_122754.jpg,0.94025,0.9732770688943954
IMG_20180719_124132.jpg,0.958341,0.9557919059085149
IMG_20180723_123437.jpg,0.0,0.0
IMG_20180723_123939.jpg,0.946027,0.9745219047194077
IMG_20180714_103808.jpg,0.936394,0.9253665945076324
IMG_20180723_123154.jpg,0.0,0.0
IMG_20180717_100254.jpg,0.591343,0.6772751307009217
IMG_20180725_122619.jpg,0.949708,0.9796466723677772
IMG_20180714_105052.jpg,0.929104,0.9052382028485958
IMG_20180717_105032.jpg,0.880209,0.9234376747454556
IMG_20180719_123752.jpg,0.913448,0.8810132416993895
IMG_20100101_021624.jpg,0.939727,0.9294584094317129
IMG_0035.JPG,0.0,0.0
IMG_20180723_145353.jpg,0.957452,0.940192126732428
IMG_20180713_110324.jpg,0.86346,0.9672068587447998
IMG_20180724_122629.jpg,0.742437,0.6415334971492973
IMG_20180809_083651.jpg,0.0,0.0
IMG_1261.jpg,0.954723,0.9728982319496989
IMG_20100101_033559.jpg,0.846211,0.8633211682679452
IMG_20180724_123530.jpg,0.0,0.0
IMG_20180719_124651.jpg,0.843009,0.6377102256168643
IMG_20180714_102857.jpg,0.757305,0.7731118875830064
