               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.028857,            0.020103,                   0,             0.90137,             0.90909,             0.93838,             0.69594,            0.022224,            0.013418,                   0,              0.0784,              0.0024,              0.0024
                   1,            0.027022,            0.017029,                   0,             0.92354,             0.91504,             0.95706,              0.6967,            0.022111,            0.011958,                   0,            0.055803,            0.004803,            0.004803
                   2,            0.028581,            0.017575,                   0,             0.96693,             0.88597,             0.94773,             0.68646,            0.022822,            0.011384,                   0,            0.033107,            0.007107,            0.007107
                   3,            0.029357,            0.017239,                   0,             0.93269,             0.87879,             0.93351,              0.5976,            0.027883,            0.011846,                   0,            0.010312,           0.0093119,           0.0093119
                   4,            0.030618,            0.016418,                   0,             0.91911,             0.90152,             0.94846,             0.61911,             0.02776,            0.011226,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.028693,            0.015989,                   0,             0.91924,              0.8623,             0.92372,             0.60634,            0.029903,            0.012661,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.027698,             0.01587,                   0,             0.92295,             0.92424,             0.96727,             0.64379,            0.023917,            0.011191,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.028854,            0.017457,                   0,              0.9593,             0.85606,             0.93913,             0.64072,            0.025509,            0.012421,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.030059,            0.016728,                   0,             0.94346,             0.88492,             0.94386,             0.66397,            0.025423,            0.010579,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.029297,            0.016398,                   0,              0.9665,             0.86364,             0.95046,              0.6356,             0.02591,            0.010877,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.028099,            0.015591,                   0,             0.96977,             0.90152,             0.96881,             0.69933,            0.021922,            0.010034,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.028613,            0.015871,                   0,             0.94422,             0.89765,              0.9568,             0.70201,            0.022599,            0.010068,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.028139,            0.016241,                   0,             0.87249,             0.92424,             0.95852,             0.70904,            0.022868,            0.011146,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.026919,            0.014878,                   0,             0.94386,              0.9697,             0.97965,             0.72764,             0.02154,           0.0096645,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.026014,             0.01504,                   0,             0.98332,             0.96212,              0.9903,              0.7097,            0.023429,           0.0089436,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.02692,            0.014716,                   0,             0.95818,             0.93182,             0.98172,             0.72052,            0.021521,           0.0089464,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.026085,            0.013695,                   0,             0.93797,             0.96212,             0.98154,             0.73467,            0.020651,           0.0089231,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.024007,            0.014404,                   0,             0.96133,             0.94167,             0.98454,             0.75084,            0.019021,           0.0090675,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.02401,            0.014753,                   0,             0.95445,             0.95247,             0.98067,             0.70789,            0.021826,           0.0086913,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.025003,            0.014436,                   0,             0.95106,             0.95455,             0.98374,             0.71043,            0.021349,           0.0085869,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.024074,            0.013377,                   0,             0.96109,             0.93576,             0.97646,             0.73711,             0.01889,           0.0092468,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.024397,            0.013953,                   0,             0.97346,              0.9697,             0.99167,             0.74249,            0.019788,           0.0089288,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.023355,            0.014138,                   0,             0.98422,              0.9697,              0.9925,             0.76529,            0.018538,           0.0079014,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.022094,            0.012984,                   0,             0.98501,              0.9958,             0.99485,             0.79152,            0.018108,           0.0079169,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.021357,            0.012695,                   0,             0.97701,             0.96581,             0.99144,             0.76944,            0.018977,           0.0080914,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.022481,            0.013813,                   0,             0.96703,             0.98485,             0.99249,             0.77633,              0.0173,           0.0077701,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.022102,            0.012942,                   0,             0.96152,             0.98485,             0.98941,             0.75178,             0.01805,           0.0083699,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.021465,            0.012048,                   0,             0.98482,             0.98274,             0.99258,             0.78603,            0.017082,           0.0084891,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.020839,            0.012348,                   0,             0.97694,             0.96276,             0.99042,             0.78751,            0.015844,           0.0076911,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.021059,             0.01221,                   0,              0.9923,             0.97609,             0.99272,             0.79075,            0.016128,            0.007602,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.020399,            0.011854,                   0,             0.98563,              0.9697,             0.99286,             0.79021,            0.015758,            0.007334,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.020864,            0.012484,                   0,             0.99241,             0.99112,             0.99492,             0.80757,             0.01531,           0.0070393,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.020242,            0.011883,                   0,             0.99678,             0.98485,             0.99485,             0.78684,            0.016667,           0.0071046,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.019923,            0.011593,                   0,             0.99241,             0.99042,             0.99485,              0.8308,            0.015016,           0.0068929,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.020036,            0.011587,                   0,             0.99241,             0.99048,             0.99485,             0.82588,            0.014107,           0.0068491,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.019432,            0.011809,                   0,             0.99957,             0.99242,               0.995,             0.82454,            0.014737,           0.0070746,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.019441,            0.011883,                   0,             0.98499,             0.99452,             0.99492,             0.82446,            0.014562,            0.006752,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.018049,            0.011618,                   0,             0.99237,             0.98569,             0.99492,             0.83985,            0.014086,           0.0066526,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.01809,            0.010436,                   0,             0.99398,                   1,               0.995,             0.84558,            0.013473,           0.0065563,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.018628,            0.010745,                   0,             0.98317,                   1,             0.99424,             0.84217,            0.013563,           0.0066223,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.018238,            0.011129,                   0,                   1,             0.99807,               0.995,             0.85309,             0.01266,           0.0060892,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.018081,            0.011013,                   0,                   1,              0.9986,               0.995,             0.86223,             0.01227,           0.0060749,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.017046,            0.011012,                   0,                   1,             0.99859,               0.995,             0.85622,            0.012184,           0.0060399,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.017786,            0.011423,                   0,             0.99959,                   1,               0.995,             0.85879,             0.01252,           0.0060444,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.017057,            0.011526,                   0,                   1,             0.99816,               0.995,             0.85844,            0.012021,           0.0058818,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.017163,            0.010477,                   0,                   1,             0.99849,               0.995,             0.86094,            0.011787,            0.005806,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.017182,             0.01121,                   0,                   1,             0.99897,               0.995,             0.86324,            0.011867,           0.0058975,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.017669,            0.010924,                   0,              0.9997,                   1,               0.995,             0.85801,            0.011889,           0.0058062,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.016502,            0.010525,                   0,             0.99954,                   1,               0.995,             0.86176,            0.011423,           0.0056903,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.016424,            0.009767,                   0,             0.99984,                   1,               0.995,             0.86616,            0.011369,           0.0056999,                   0,            0.000496,            0.000496,            0.000496
